team,year,link
Kansas Jayhawks,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=328&stats_player_seq=-100
Kansas Jayhawks,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=328&stats_player_seq=-100
Kansas Jayhawks,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=328&stats_player_seq=-100
Kansas Jayhawks,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=328&stats_player_seq=-100
Kansas St. Wildcats,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=327&stats_player_seq=-100
Kansas St. Wildcats,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=327&stats_player_seq=-100
Kansas St. Wildcats,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=327&stats_player_seq=-100
Kansas St. Wildcats,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=327&stats_player_seq=-100
Kent St. Golden Flashes,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=331&stats_player_seq=-100
Kent St. Golden Flashes,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=331&stats_player_seq=-100
Kent St. Golden Flashes,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=331&stats_player_seq=-100
Kent St. Golden Flashes,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=331&stats_player_seq=-100
Kentucky Wildcats,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=334&stats_player_seq=-100
Kentucky Wildcats,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=334&stats_player_seq=-100
Kentucky Wildcats,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=334&stats_player_seq=-100
Kentucky Wildcats,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=334&stats_player_seq=-100
LSU Fighting Tigers,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=365&stats_player_seq=-100
LSU Fighting Tigers,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=365&stats_player_seq=-100
LSU Fighting Tigers,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=365&stats_player_seq=-100
La.-Monroe Warhawks,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=498&stats_player_seq=-100
La.-Monroe Warhawks,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=498&stats_player_seq=-100
La.-Monroe Warhawks,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=498&stats_player_seq=-100
La.-Monroe Warhawks,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=498&stats_player_seq=-100
Louisiana Ragin' Cajuns,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=671&stats_player_seq=-100
Louisiana Ragin' Cajuns,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=671&stats_player_seq=-100
Louisiana Ragin' Cajuns,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=671&stats_player_seq=-100
Louisiana Ragin' Cajuns,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=671&stats_player_seq=-100
Louisiana Tech Bulldogs,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=366&stats_player_seq=-100
Louisiana Tech Bulldogs,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=366&stats_player_seq=-100
