team,link,txt,key,year
Oklahoma  Sooners,http://stats.ncaa.org/team/522/stats/11520,Team Statistics,stats,2014
Oklahoma St. Cowboys,http://stats.ncaa.org/teams/history/MFB/521,Team History,history,2014
Oklahoma St. Cowboys,http://stats.ncaa.org/people/25077?sport_code=MFB,Mike Gundy,people,2014
Oklahoma St. Cowboys,http://stats.ncaa.org/team/521/roster/11520,Roster,roster,2014
Oklahoma St. Cowboys,http://stats.ncaa.org/team/521/stats/11520,Team Statistics,stats,2014
Old Dominion Monarchs,http://stats.ncaa.org/teams/history/MFB/523,Team History,history,2014
Old Dominion Monarchs,http://stats.ncaa.org/people/31380?sport_code=MFB,Bobby Wilder,people,2014
Old Dominion Monarchs,http://stats.ncaa.org/team/523/roster/11520,Roster,roster,2014
Old Dominion Monarchs,http://stats.ncaa.org/team/523/stats/11520,Team Statistics,stats,2014
Ole Miss Rebels,http://stats.ncaa.org/teams/history/MFB/433,Team History,history,2014
Ole Miss Rebels,http://stats.ncaa.org/people/38512?sport_code=MFB,Hugh Freeze,people,2014
Ole Miss Rebels,http://stats.ncaa.org/team/433/roster/11520,Roster,roster,2014
Ole Miss Rebels,http://stats.ncaa.org/team/433/stats/11520,Team Statistics,stats,2014
Oregon  Ducks,http://stats.ncaa.org/teams/history/MFB/529,Team History,history,2014
Oregon  Ducks,http://stats.ncaa.org/people/41683?sport_code=MFB,Mark Helfrich,people,2014
Oregon  Ducks,http://stats.ncaa.org/team/529/roster/11520,Roster,roster,2014
Oregon  Ducks,http://stats.ncaa.org/team/529/stats/11520,Team Statistics,stats,2014
Oregon St. Beavers,http://stats.ncaa.org/teams/history/MFB/528,Team History,history,2014
Oregon St. Beavers,http://stats.ncaa.org/people/15427?sport_code=MFB,Mike Riley,people,2014
Oregon St. Beavers,http://stats.ncaa.org/team/528/roster/11520,Roster,roster,2014
