Year,Team,GP,G,PuntRet,PuntRetTDs,PuntRetYds,OffenseDefense
2016-17,BYU,13,13,24,nan,204,Offense
2016-17,BYU,0,13,17,nan,43,Defensive
2017-18,BYU,13,13,24,nan,118,Offense
2017-18,BYU,0,13,18,nan,64,Defensive
2013-14,BYU,13,13,36,1,335,Offense
2013-14,BYU,0,13,28,nan,218,Defensive
2014-15,BYU,13,13,30,nan,224,Offense
2014-15,BYU,0,13,24,nan,224,Defensive
2015-16,BYU,13,13,25,nan,217,Offense
2015-16,BYU,0,13,21,1,260,Defensive
2016-17,BYU,13,13,24,nan,204,Offense
2016-17,BYU,0,13,17,nan,43,Defensive
2017-18,BYU,13,13,24,nan,118,Offense
2017-18,BYU,0,13,18,nan,64,Defensive
2013-14,BYU,13,13,36,1,335,Offense
2013-14,BYU,0,13,28,nan,218,Defensive
2014-15,BYU,13,13,30,nan,224,Offense
2014-15,BYU,0,13,24,nan,224,Defensive
2015-16,BYU,13,13,25,nan,217,Offense
2015-16,BYU,0,13,21,1,260,Defensive
2016-17,BYU,13,13,24,nan,204,Offense
2016-17,BYU,0,13,17,nan,43,Defensive
2017-18,BYU,13,13,24,nan,118,Offense
2017-18,BYU,0,13,18,nan,64,Defensive
2011-12,Auburn,1,1,nan,nan,nan,Offense
2011-12,Auburn,0,1,3,nan,6,Defensive
2013-14,Auburn,14,14,32,1,377,Offense
2013-14,Auburn,0,14,5,nan,35,Defensive
2014-15,Auburn,13,13,17,2,303,Offense
2014-15,Auburn,0,13,19,nan,148,Defensive
2015-16,Auburn,13,13,15,nan,179,Offense
2015-16,Auburn,0,13,7,1,87,Defensive
2016-17,Auburn,13,13,16,nan,171,Offense
2016-17,Auburn,0,13,6,nan,19,Defensive
2017-18,Auburn,13,13,20,1,189,Offense
2017-18,Auburn,0,13,13,1,159,Defensive
2011-12,Auburn,1,1,nan,nan,nan,Offense
2011-12,Auburn,0,1,3,nan,6,Defensive
2013-14,Auburn,14,14,32,1,377,Offense
2013-14,Auburn,0,14,5,nan,35,Defensive
2014-15,Auburn,13,13,17,2,303,Offense
2014-15,Auburn,0,13,19,nan,148,Defensive
