Year,Team,GP,G,FGM,FGA,FGBlocksAllowed,FGM1-19,FGA1-19,FGM20-29,FGA20-29,FGM30-39,FGA30-39,FGM40-49,FGA40-49,FGM50-59,FGA50-59,FGM60+,FGA60+,LongFGM,OffenseDefense
2014-15,Georgia Tech,14,14,11,18,1,nan,nan,5,5,2,7,3,4,1,2,nan,nan,nan,Offense
2014-15,Georgia Tech,0,14,18,21,2,1,1,5,6,9,10,2,3,1,1,nan,nan,nan,Defensive
2015-16,Georgia Tech,12,12,7,11,1,nan,nan,nan,nan,3,4,2,3,2,4,nan,nan,nan,Offense
2015-16,Georgia Tech,0,12,15,21,1,2,2,7,7,3,4,1,5,2,3,nan,nan,nan,Defensive
2016-17,Georgia Tech,13,13,15,17,1,nan,nan,4,4,3,5,7,7,1,1,nan,nan,nan,Offense
2016-17,Georgia Tech,0,13,12,20,2,nan,nan,1,2,7,11,3,6,1,1,nan,nan,nan,Defensive
2017-18,Georgia Tech,11,11,7,10,1,nan,nan,4,4,2,3,1,3,nan,nan,nan,nan,nan,Offense
2017-18,Georgia Tech,0,11,16,19,nan,nan,nan,8,8,6,6,1,2,1,3,nan,nan,nan,Defensive
2013-14,Georgia Tech,13,13,10,14,1,nan,nan,1,1,4,6,5,7,nan,nan,nan,nan,nan,Offense
2013-14,Georgia Tech,0,13,10,17,1,nan,nan,4,6,2,4,3,5,1,2,nan,nan,nan,Defensive
2014-15,Georgia Tech,14,14,11,18,1,nan,nan,5,5,2,7,3,4,1,2,nan,nan,nan,Offense
2014-15,Georgia Tech,0,14,18,21,2,1,1,5,6,9,10,2,3,1,1,nan,nan,nan,Defensive
2015-16,Georgia Tech,12,12,7,11,1,nan,nan,nan,nan,3,4,2,3,2,4,nan,nan,nan,Offense
2015-16,Georgia Tech,0,12,15,21,1,2,2,7,7,3,4,1,5,2,3,nan,nan,nan,Defensive
2016-17,Georgia Tech,13,13,15,17,1,nan,nan,4,4,3,5,7,7,1,1,nan,nan,nan,Offense
2016-17,Georgia Tech,0,13,12,20,2,nan,nan,1,2,7,11,3,6,1,1,nan,nan,nan,Defensive
2017-18,Georgia Tech,11,11,7,10,1,nan,nan,4,4,2,3,1,3,nan,nan,nan,nan,nan,Offense
2017-18,Georgia Tech,0,11,16,19,nan,nan,nan,8,8,6,6,1,2,1,3,nan,nan,nan,Defensive
2013-14,Georgia Tech,13,13,10,14,1,nan,nan,1,1,4,6,5,7,nan,nan,nan,nan,nan,Offense
2013-14,Georgia Tech,0,13,10,17,1,nan,nan,4,6,2,4,3,5,1,2,nan,nan,nan,Defensive
2014-15,Georgia Tech,14,14,11,18,1,nan,nan,5,5,2,7,3,4,1,2,nan,nan,nan,Offense
2014-15,Georgia Tech,0,14,18,21,2,1,1,5,6,9,10,2,3,1,1,nan,nan,nan,Defensive
2015-16,Georgia Tech,12,12,7,11,1,nan,nan,nan,nan,3,4,2,3,2,4,nan,nan,nan,Offense
2015-16,Georgia Tech,0,12,15,21,1,2,2,7,7,3,4,1,5,2,3,nan,nan,nan,Defensive
2016-17,Georgia Tech,13,13,15,17,1,nan,nan,4,4,3,5,7,7,1,1,nan,nan,nan,Offense
2016-17,Georgia Tech,0,13,12,20,2,nan,nan,1,2,7,11,3,6,1,1,nan,nan,nan,Defensive
2017-18,Georgia Tech,11,11,7,10,1,nan,nan,4,4,2,3,1,3,nan,nan,nan,nan,nan,Offense
2017-18,Georgia Tech,0,11,16,19,nan,nan,nan,8,8,6,6,1,2,1,3,nan,nan,nan,Defensive
2013-14,Georgia St.,12,12,8,12,nan,1,1,2,3,3,3,1,2,1,3,nan,nan,nan,Offense
2013-14,Georgia St.,0,12,10,16,nan,nan,nan,4,5,2,5,4,5,0,1,nan,nan,nan,Defensive
2014-15,Georgia St.,12,12,7,8,nan,nan,nan,3,3,2,2,2,3,nan,nan,nan,nan,nan,Offense
2014-15,Georgia St.,0,12,18,21,nan,nan,nan,8,8,4,6,6,7,nan,nan,nan,nan,nan,Defensive
2015-16,Georgia St.,13,13,12,19,1,1,1,4,5,2,4,3,5,2,4,nan,nan,nan,Offense
2015-16,Georgia St.,0,13,22,28,nan,2,2,6,7,3,4,9,12,2,3,nan,nan,nan,Defensive
2016-17,Georgia St.,12,12,9,17,4,nan,nan,2,4,4,4,3,7,0,2,nan,nan,nan,Offense
2016-17,Georgia St.,0,12,19,29,1,1,1,5,6,6,8,7,13,0,1,nan,nan,nan,Defensive
2017-18,Georgia St.,11,11,10,20,nan,nan,nan,5,7,1,3,3,6,1,4,nan,nan,nan,Offense
2017-18,Georgia St.,0,11,10,18,1,1,1,3,4,3,6,3,5,0,2,nan,nan,nan,Defensive
2013-14,Georgia St.,12,12,8,12,nan,1,1,2,3,3,3,1,2,1,3,nan,nan,nan,Offense
2013-14,Georgia St.,0,12,10,16,nan,nan,nan,4,5,2,5,4,5,0,1,nan,nan,nan,Defensive
2014-15,Georgia St.,12,12,7,8,nan,nan,nan,3,3,2,2,2,3,nan,nan,nan,nan,nan,Offense
2014-15,Georgia St.,0,12,18,21,nan,nan,nan,8,8,4,6,6,7,nan,nan,nan,nan,nan,Defensive
2015-16,Georgia St.,13,13,12,19,1,1,1,4,5,2,4,3,5,2,4,nan,nan,nan,Offense
2015-16,Georgia St.,0,13,22,28,nan,2,2,6,7,3,4,9,12,2,3,nan,nan,nan,Defensive
