Year,Team,GP,G,SoloTack,AsstTack,STFL,ATFL,TackleYds,Tackles,OffenseDefense
2016-17,Arizona,12,12,630,180,50,18,237,810,Offense
2016-17,Arizona,0,12,554,145,67,12,311,699,Defensive
2017-18,Arizona,12,12,576,252,54,28,267,828,Offense
2017-18,Arizona,0,12,557,260,49,16,204,817,Defensive
2013-14,Arizona,13,13,599,324,63,28,255,923,Offense
2013-14,Arizona,0,13,654,362,51,12,185,1016,Defensive
2014-15,Arizona,14,14,706,356,87,22,356,1062,Offense
2014-15,Arizona,0,14,682,281,71,20,312,963,Defensive
2015-16,Arizona,13,13,699,242,66,18,308,887,Offense
2015-16,Arizona,0,13,614,257,58,38,259,787,Defensive
2016-17,Arizona,12,12,630,180,50,18,237,810,Offense
2016-17,Arizona,0,12,554,145,67,12,311,699,Defensive
2017-18,Arizona,12,12,576,252,54,28,267,828,Offense
2017-18,Arizona,0,12,557,260,49,16,204,817,Defensive
2013-14,Arizona St.,14,14,607,268,85,32,413,875,Offense
2013-14,Arizona St.,0,14,758,258,78,32,354,1016,Defensive
2014-15,Arizona St.,13,13,617,290,88,20,452,907,Offense
2014-15,Arizona St.,0,13,629,220,87,14,363,849,Defensive
2015-16,Arizona St.,13,13,588,192,94,34,445,780,Offense
2015-16,Arizona St.,0,13,683,266,82,28,356,949,Defensive
2016-17,Arizona St.,12,12,541,170,70,30,324,711,Offense
2016-17,Arizona St.,0,12,619,208,81,18,367,827,Defensive
2017-18,Arizona St.,12,12,531,238,62,28,316,769,Offense
2017-18,Arizona St.,0,12,603,304,67,22,333,907,Defensive
2013-14,Arizona St.,14,14,607,268,85,32,413,875,Offense
2013-14,Arizona St.,0,14,758,258,78,32,354,1016,Defensive
2014-15,Arizona St.,13,13,617,290,88,20,452,907,Offense
2014-15,Arizona St.,0,13,629,220,87,14,363,849,Defensive
2015-16,Arizona St.,13,13,588,192,94,34,445,780,Offense
2015-16,Arizona St.,0,13,683,266,82,28,356,949,Defensive
2016-17,Arizona St.,12,12,541,170,70,30,324,711,Offense
2016-17,Arizona St.,0,12,619,208,81,18,367,827,Defensive
2017-18,Arizona St.,12,12,531,238,62,28,316,769,Offense
2017-18,Arizona St.,0,12,603,304,67,22,333,907,Defensive
2013-14,Boise St.,13,13,601,456,68,38,286,1057,Offense
2013-14,Boise St.,0,13,639,398,61,32,269,1037,Defensive
2014-15,Boise St.,14,14,595,330,89,40,411,865,Offense
2014-15,Boise St.,0,14,663,402,75,26,352,967,Defensive
2015-16,Boise St.,13,13,474,354,75,40,357,773,Offense
2015-16,Boise St.,0,13,644,358,74,38,333,926,Defensive
2016-17,Boise St.,13,13,606,356,64,32,296,962,Offense
2016-17,Boise St.,0,13,550,300,62,16,269,850,Defensive
2017-18,Boise St.,13,13,520,342,59,22,262,862,Offense
2017-18,Boise St.,0,13,504,409,59,30,238,913,Defensive
2013-14,Boise St.,13,13,601,456,68,38,286,1057,Offense
2013-14,Boise St.,0,13,639,398,61,32,269,1037,Defensive
2014-15,Boise St.,14,14,595,330,89,40,411,865,Offense
2014-15,Boise St.,0,14,663,402,75,26,352,967,Defensive
2015-16,Boise St.,13,13,474,354,75,40,357,773,Offense
2015-16,Boise St.,0,13,644,358,74,38,333,926,Defensive
2016-17,Boise St.,13,13,606,356,64,32,296,962,Offense
2016-17,Boise St.,0,13,550,300,62,16,269,850,Defensive
2017-18,Boise St.,13,13,520,342,59,22,262,862,Offense
2017-18,Boise St.,0,13,504,409,59,30,238,913,Defensive
2013-14,Baylor,13,13,603,322,79,40,338,925,Offense
2013-14,Baylor,0,13,701,270,63,8,215,971,Defensive
2014-15,Baylor,13,13,599,294,80,28,407,893,Offense
2014-15,Baylor,0,13,734,298,45,30,225,1032,Defensive
2015-16,Baylor,13,13,677,218,85,26,349,895,Offense
2015-16,Baylor,0,13,697,332,52,20,184,1029,Defensive
2016-17,Baylor,13,13,675,313,82,32,391,988,Offense
2016-17,Baylor,0,13,720,312,53,18,196,1032,Defensive
2017-18,Baylor,12,12,542,260,69,28,288,802,Offense
2017-18,Baylor,0,12,525,183,77,34,398,708,Defensive
2013-14,Baylor,13,13,603,322,79,40,338,925,Offense
2013-14,Baylor,0,13,701,270,63,8,215,971,Defensive
2014-15,Baylor,13,13,599,294,80,28,407,893,Offense
2014-15,Baylor,0,13,734,298,45,30,225,1032,Defensive
2015-16,Baylor,13,13,677,218,85,26,349,895,Offense
2015-16,Baylor,0,13,697,332,52,20,184,1029,Defensive
2016-17,Baylor,13,13,675,313,82,32,391,988,Offense
2016-17,Baylor,0,13,720,312,53,18,196,1032,Defensive
2017-18,Baylor,12,12,542,260,69,28,288,802,Offense
2017-18,Baylor,0,12,525,183,77,34,398,708,Defensive
2013-14,Baylor,13,13,603,322,79,40,338,925,Offense
2013-14,Baylor,0,13,701,270,63,8,215,971,Defensive
2014-15,Baylor,13,13,599,294,80,28,407,893,Offense
2014-15,Baylor,0,13,734,298,45,30,225,1032,Defensive
2015-16,Baylor,13,13,677,218,85,26,349,895,Offense
2015-16,Baylor,0,13,697,332,52,20,184,1029,Defensive
2016-17,Baylor,13,13,675,313,82,32,391,988,Offense
2016-17,Baylor,0,13,720,312,53,18,196,1032,Defensive
2017-18,Baylor,12,12,542,260,69,28,288,802,Offense
2017-18,Baylor,0,12,525,183,77,34,398,708,Defensive
2013-14,Ball St.,13,13,494,588,52,44,288,1082,Offense
2013-14,Ball St.,0,13,430,553,31,46,171,983,Defensive
2014-15,Ball St.,12,12,463,472,49,6,210,935,Offense
2014-15,Ball St.,0,12,387,562,40,36,189,949,Defensive
2015-16,Ball St.,12,12,518,454,40,24,174,972,Offense
2015-16,Ball St.,0,12,444,502,35,24,145,946,Defensive
2016-17,Ball St.,12,12,485,408,58,52,295,893,Offense
2016-17,Ball St.,0,12,497,492,33,46,194,989,Defensive
2017-18,Ball St.,12,12,418,364,49,40,261,782,Offense
2017-18,Ball St.,0,12,471,502,60,24,287,973,Defensive
2013-14,Ball St.,13,13,494,588,52,44,288,1082,Offense
2013-14,Ball St.,0,13,430,553,31,46,171,983,Defensive
2014-15,Ball St.,12,12,463,472,49,6,210,935,Offense
2014-15,Ball St.,0,12,387,562,40,36,189,949,Defensive
2015-16,Ball St.,12,12,518,454,40,24,174,972,Offense
2015-16,Ball St.,0,12,444,502,35,24,145,946,Defensive
2016-17,Ball St.,12,12,485,408,58,52,295,893,Offense
2016-17,Ball St.,0,12,497,492,33,46,194,989,Defensive
2017-18,Ball St.,12,12,418,364,49,40,261,782,Offense
2017-18,Ball St.,0,12,471,502,60,24,287,973,Defensive
2013-14,BYU,13,13,597,440,66,30,303,1037,Offense
2013-14,BYU,0,13,629,476,58,40,311,1105,Defensive
2014-15,BYU,13,13,654,272,66,20,257,862,Offense
2014-15,BYU,0,13,619,334,57,22,275,875,Defensive
2015-16,BYU,13,13,545,336,76,44,361,881,Offense
2015-16,BYU,0,13,545,269,64,12,308,814,Defensive
2016-17,BYU,13,13,509,348,50,48,282,857,Offense
2016-17,BYU,0,13,581,362,54,20,232,943,Defensive
2017-18,BYU,13,13,538,425,43,24,194,963,Offense
2017-18,BYU,0,13,477,338,40,18,229,815,Defensive
2013-14,BYU,13,13,597,440,66,30,303,1037,Offense
2013-14,BYU,0,13,629,476,58,40,311,1105,Defensive
2014-15,BYU,13,13,654,272,66,20,257,862,Offense
2014-15,BYU,0,13,619,334,57,22,275,875,Defensive
2015-16,BYU,13,13,545,336,76,44,361,881,Offense
2015-16,BYU,0,13,545,269,64,12,308,814,Defensive
2016-17,BYU,13,13,509,348,50,48,282,857,Offense
2016-17,BYU,0,13,581,362,54,20,232,943,Defensive
2017-18,BYU,13,13,538,425,43,24,194,963,Offense
2017-18,BYU,0,13,477,338,40,18,229,815,Defensive
2013-14,BYU,13,13,597,440,66,30,303,1037,Offense
2013-14,BYU,0,13,629,476,58,40,311,1105,Defensive
2014-15,BYU,13,13,654,272,66,20,257,862,Offense
2014-15,BYU,0,13,619,334,57,22,275,875,Defensive
