Date,Opponent,Result,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,Team,OffenseDefense
09/14/2013,@ Texas A&M,W 49 - 42,1/,,509,2,4,nan,83,Alabama Crimson Tide,Offense
09/14/2013,@ Texas A&M,W 49 - 42,1/,,370,1,6,nan,106,Alabama Crimson Tide,Defense
09/21/2013,Colorado St.,W 31 - 6,1/,,373,nan,3,nan,60,Alabama Crimson Tide,Offense
09/21/2013,Colorado St.,W 31 - 6,1/,,179,nan,6,nan,116,Alabama Crimson Tide,Defense
09/28/2013,Ole Miss,W 25 - 0,1/,,306,1,nan,nan,nan,Alabama Crimson Tide,Offense
09/28/2013,Ole Miss,W 25 - 0,1/,,122,1,4,nan,72,Alabama Crimson Tide,Defense
10/05/2013,Georgia St.,W 45 - 3,1/,,507,1,2,nan,17,Alabama Crimson Tide,Offense
10/05/2013,Georgia St.,W 45 - 3,1/,,86,nan,7,nan,120,Alabama Crimson Tide,Defense
10/12/2013,@ Kentucky,W 48 - 7,1/,,582,5,2,nan,49,Alabama Crimson Tide,Offense
10/12/2013,@ Kentucky,W 48 - 7,1/,,130,nan,4,nan,104,Alabama Crimson Tide,Defense
10/19/2013,Arkansas,W 52 - 0,1/,,562,2,1,nan,32,Alabama Crimson Tide,Offense
10/19/2013,Arkansas,W 52 - 0,1/,,65,nan,7/,nan,129,Alabama Crimson Tide,Defense
10/26/2013,Tennessee,W 45 - 10,1/,,506,3,3,nan,113,Alabama Crimson Tide,Offense
10/26/2013,Tennessee,W 45 - 10,1/,,173,nan,5,nan,146,Alabama Crimson Tide,Defense
11/09/2013,LSU,W 38 - 17,1/,,448,3,4,nan,83,Alabama Crimson Tide,Offense
11/09/2013,LSU,W 38 - 17,1/,,257,nan,4,nan,174,Alabama Crimson Tide,Defense
11/16/2013,@ Mississippi St.,W 20 - 7,1/,,296,2,1,nan,18,Alabama Crimson Tide,Offense
11/16/2013,@ Mississippi St.,W 20 - 7,1/,,125,1,3,nan,37,Alabama Crimson Tide,Defense
11/23/2013,Chattanooga,W 49 - 0,1/,,478,1,1,nan,14,Alabama Crimson Tide,Offense
11/23/2013,Chattanooga,W 49 - 0,1/,,41,nan,7,nan,109,Alabama Crimson Tide,Defense
11/30/2013,@ Auburn,L 28 - 34,1/,,318,1,3,nan,54,Alabama Crimson Tide,Offense
11/30/2013,@ Auburn,L 28 - 34,1/,,300,2,4,nan,90,Alabama Crimson Tide,Defense
01/02/2014,"Oklahoma @ New Orleans, La.",L 31 - 45,1/,,362,1,5,nan,104,Alabama Crimson Tide,Offense
01/02/2014,"Oklahoma @ New Orleans, La.",L 31 - 45,1/,,460,3,5,nan,101,Alabama Crimson Tide,Defense
