Date,Opponent,Result,SackUA,G,SackA,SackYds,Sacks,Team,OffenseDefense
11/21/2015,Buffalo,W 42 - 21,nan,1/,nan,nan,nan,Akron Zips,Defense
11/27/2015,Kent St.,W 20 - 0,nan,1/,nan,22,3.0,Akron Zips,Offense
11/27/2015,Kent St.,W 20 - 0,nan,1/,nan,7,1.0,Akron Zips,Defense
12/22/2015,"Utah St. @ Boise, Idaho",W 23 - 21,nan,1/,nan,32,5.0,Akron Zips,Offense
12/22/2015,"Utah St. @ Boise, Idaho",W 23 - 21,nan,1/,nan,9,1.0,Akron Zips,Defense
09/03/2016,"Southern California @ Arlington, Texas",W 52 - 6,nan,1/,nan,20,3.0,Alabama Crimson Tide,Offense
09/03/2016,"Southern California @ Arlington, Texas",W 52 - 6,nan,1/,nan,21,3.0,Alabama Crimson Tide,Defense
09/10/2016,Western Ky.,W 38 - 10,nan,1/,nan,39,4.0,Alabama Crimson Tide,Offense
09/10/2016,Western Ky.,W 38 - 10,nan,1/,nan,15,2.0,Alabama Crimson Tide,Defense
09/17/2016,@ Ole Miss,W 48 - 43,nan,1/,nan,25,3.0,Alabama Crimson Tide,Offense
09/17/2016,@ Ole Miss,W 48 - 43,nan,1/,nan,9,1.0,Alabama Crimson Tide,Defense
09/24/2016,Kent St.,W 48 - 0,nan,1/,nan,26,3.0,Alabama Crimson Tide,Offense
09/24/2016,Kent St.,W 48 - 0,nan,1/,nan,7,2.0,Alabama Crimson Tide,Defense
10/01/2016,Kentucky,W 34 - 6,nan,1/,nan,28,4.0,Alabama Crimson Tide,Offense
10/01/2016,Kentucky,W 34 - 6,nan,1/,nan,13,2.0,Alabama Crimson Tide,Defense
10/08/2016,@ Arkansas,W 49 - 30,nan,1/,nan,53,7.0,Alabama Crimson Tide,Offense
10/08/2016,@ Arkansas,W 49 - 30,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
10/15/2016,@ Tennessee,W 49 - 10,nan,1/,nan,37,3.0,Alabama Crimson Tide,Offense
10/15/2016,@ Tennessee,W 49 - 10,nan,1/,nan,14,1.0,Alabama Crimson Tide,Defense
