Date,Opponent,Result,G,FumblesRecovered,Int,Blkd,Team,OffenseDefense
11/21/2015,Buffalo,W 42 - 21,1/,1,2,nan,Akron Zips,Offense
11/21/2015,Buffalo,W 42 - 21,1/,nan,nan,nan,Akron Zips,Defense
11/27/2015,Kent St.,W 20 - 0,1/,3/,nan,nan,Akron Zips,Offense
11/27/2015,Kent St.,W 20 - 0,1/,1,nan,nan,Akron Zips,Defense
12/22/2015,"Utah St. @ Boise, Idaho",W 23 - 21,1/,2,1,nan,Akron Zips,Offense
12/22/2015,"Utah St. @ Boise, Idaho",W 23 - 21,1/,nan,1,nan,Akron Zips,Defense
09/03/2016,"Southern California @ Arlington, Texas",W 52 - 6,1/,nan,1,nan,Alabama Crimson Tide,Offense
09/03/2016,"Southern California @ Arlington, Texas",W 52 - 6,1/,1,1,nan,Alabama Crimson Tide,Defense
09/10/2016,Western Ky.,W 38 - 10,1/,nan,2,1,Alabama Crimson Tide,Offense
09/10/2016,Western Ky.,W 38 - 10,1/,1,nan,nan,Alabama Crimson Tide,Defense
09/17/2016,@ Ole Miss,W 48 - 43,1/,2,nan,nan,Alabama Crimson Tide,Offense
09/17/2016,@ Ole Miss,W 48 - 43,1/,1,nan,nan,Alabama Crimson Tide,Defense
09/24/2016,Kent St.,W 48 - 0,1/,1,nan,nan,Alabama Crimson Tide,Offense
09/24/2016,Kent St.,W 48 - 0,1/,nan,nan,nan,Alabama Crimson Tide,Defense
10/01/2016,Kentucky,W 34 - 6,1/,2,nan,nan,Alabama Crimson Tide,Offense
10/01/2016,Kentucky,W 34 - 6,1/,1,nan,nan,Alabama Crimson Tide,Defense
10/08/2016,@ Arkansas,W 49 - 30,1/,2,3/,nan,Alabama Crimson Tide,Offense
10/08/2016,@ Arkansas,W 49 - 30,1/,2,1,nan,Alabama Crimson Tide,Defense
10/15/2016,@ Tennessee,W 49 - 10,1/,nan,1,nan,Alabama Crimson Tide,Offense
10/15/2016,@ Tennessee,W 49 - 10,1/,1,1,nan,Alabama Crimson Tide,Defense
10/22/2016,Texas A&M,W 33 - 14,1/,1,1,nan,Alabama Crimson Tide,Offense
10/22/2016,Texas A&M,W 33 - 14,1/,nan,2,nan,Alabama Crimson Tide,Defense
11/05/2016,@ LSU,W 10 - 0,1/,nan,1,1,Alabama Crimson Tide,Offense
11/05/2016,@ LSU,W 10 - 0,1/,1,1,nan,Alabama Crimson Tide,Defense
11/12/2016,Mississippi St.,W 51 - 3,1/,nan,1,nan,Alabama Crimson Tide,Offense
11/12/2016,Mississippi St.,W 51 - 3,1/,1,1,nan,Alabama Crimson Tide,Defense
11/19/2016,Chattanooga,W 31 - 3,1/,2,nan,nan,Alabama Crimson Tide,Offense
11/19/2016,Chattanooga,W 31 - 3,1/,1,nan,nan,Alabama Crimson Tide,Defense
11/26/2016,Auburn,W 30 - 12,1/,nan,1,nan,Alabama Crimson Tide,Offense
11/26/2016,Auburn,W 30 - 12,1/,nan,2,nan,Alabama Crimson Tide,Defense
12/03/2016,"Florida @ Atlanta, Ga.",W 54 - 16,1/,nan,3/,1,Alabama Crimson Tide,Offense
12/03/2016,"Florida @ Atlanta, Ga.",W 54 - 16,1/,nan,nan,1,Alabama Crimson Tide,Defense
12/31/2016,"Washington @ Atlanta, Georgia",W 24 - 7,1/,1,2,nan,Alabama Crimson Tide,Offense
12/31/2016,"Washington @ Atlanta, Georgia",W 24 - 7,1/,nan,nan,nan,Alabama Crimson Tide,Defense
01/09/2017,"Clemson @ Tampa, Florida",L 31 - 35,1/,2,nan,nan,Alabama Crimson Tide,Offense
01/09/2017,"Clemson @ Tampa, Florida",L 31 - 35,1/,nan,nan,1,Alabama Crimson Tide,Defense
08/29/2013,@ UCF,L 7 - 38,1/,nan,nan,nan,Akron Zips,Offense
08/29/2013,@ UCF,L 7 - 38,1/,1,1,nan,Akron Zips,Defense
09/07/2013,James Madison,W 35 - 33,1/,1,1,nan,Akron Zips,Offense
09/07/2013,James Madison,W 35 - 33,1/,nan,1,nan,Akron Zips,Defense
09/14/2013,@ Michigan,L 24 - 28,1/,1,3,nan,Akron Zips,Offense
