Year,Team,GP,Punts,G,PuntYds,PuntTBs,LongPunt,OffenseDefense
2013-14,BYU,0,95,13,4006,3,nan,Defensive
2014-15,BYU,13,69,13,3106,2,nan,Offense
2014-15,BYU,0,81,13,3221,3,nan,Defensive
2015-16,BYU,13,64,13,2697,3,nan,Offense
2015-16,BYU,0,74,13,3177,5,nan,Defensive
2016-17,BYU,13,58,13,2459,5,nan,Offense
2016-17,BYU,0,61,13,2550,nan,nan,Defensive
2017-18,BYU,13,60,13,2572,2,nan,Offense
2017-18,BYU,0,56,13,2570,7,nan,Defensive
2013-14,BYU,13,85,13,3376,11,nan,Offense
2013-14,BYU,0,95,13,4006,3,nan,Defensive
2014-15,BYU,13,69,13,3106,2,nan,Offense
2014-15,BYU,0,81,13,3221,3,nan,Defensive
2015-16,BYU,13,64,13,2697,3,nan,Offense
2015-16,BYU,0,74,13,3177,5,nan,Defensive
2016-17,BYU,13,58,13,2459,5,nan,Offense
2016-17,BYU,0,61,13,2550,nan,nan,Defensive
2017-18,BYU,13,60,13,2572,2,nan,Offense
2017-18,BYU,0,56,13,2570,7,nan,Defensive
2013-14,BYU,13,85,13,3376,11,nan,Offense
2013-14,BYU,0,95,13,4006,3,nan,Defensive
2014-15,BYU,13,69,13,3106,2,nan,Offense
2014-15,BYU,0,81,13,3221,3,nan,Defensive
2015-16,BYU,13,64,13,2697,3,nan,Offense
2015-16,BYU,0,74,13,3177,5,nan,Defensive
2016-17,BYU,13,58,13,2459,5,nan,Offense
2016-17,BYU,0,61,13,2550,nan,nan,Defensive
2017-18,BYU,13,60,13,2572,2,nan,Offense
2017-18,BYU,0,56,13,2570,7,nan,Defensive
2013-14,BYU,13,85,13,3376,11,nan,Offense
2013-14,BYU,0,95,13,4006,3,nan,Defensive
2014-15,BYU,13,69,13,3106,2,nan,Offense
2014-15,BYU,0,81,13,3221,3,nan,Defensive
2015-16,BYU,13,64,13,2697,3,nan,Offense
2015-16,BYU,0,74,13,3177,5,nan,Defensive
2016-17,BYU,13,58,13,2459,5,nan,Offense
2016-17,BYU,0,61,13,2550,nan,nan,Defensive
2017-18,BYU,13,60,13,2572,2,nan,Offense
2017-18,BYU,0,56,13,2570,7,nan,Defensive
2011-12,Auburn,1,5,1,202,nan,nan,Offense
2011-12,Auburn,0,5,1,184,1,nan,Defensive
2013-14,Auburn,14,56,14,2385,4,nan,Offense
2013-14,Auburn,0,76,14,3334,8,nan,Defensive
2014-15,Auburn,13,52,13,2115,1,nan,Offense
2014-15,Auburn,0,59,13,2427,2,nan,Defensive
2015-16,Auburn,13,55,13,2254,5,nan,Offense
2015-16,Auburn,0,46,13,1894,5,nan,Defensive
2016-17,Auburn,13,48,13,1994,3,nan,Offense
2016-17,Auburn,0,72,13,2831,6,nan,Defensive
2017-18,Auburn,13,52,13,2054,3,nan,Offense
2017-18,Auburn,0,84,13,3554,7,nan,Defensive
2011-12,Auburn,1,5,1,202,nan,nan,Offense
2011-12,Auburn,0,5,1,184,1,nan,Defensive
2013-14,Auburn,14,56,14,2385,4,nan,Offense
2013-14,Auburn,0,76,14,3334,8,nan,Defensive
2014-15,Auburn,13,52,13,2115,1,nan,Offense
2014-15,Auburn,0,59,13,2427,2,nan,Defensive
2015-16,Auburn,13,55,13,2254,5,nan,Offense
