Date,Opponent,Result,G,TDs,KickPAT,PATAtt,RushPAT,Ru2PTAtt,ReceivingPAT,Pass2PtConv,Pass2PTAtt,KickReturnPAT,FumbRetPAT,FG,Safeties,Points,Team,OffenseDefense
11/22/2014,Western Caro.,W 48 - 14,1/,2,2,2,nan,nan,nan,,nan,nan,nan,nan,nan,14,Alabama Crimson Tide,Defense
11/29/2014,Auburn,W 55 - 44,1/,8,5,6,nan,1,1/,,1/,nan,nan,nan,nan,55,Alabama Crimson Tide,Offense
11/29/2014,Auburn,W 55 - 44,1/,4,3,3,1/,1,nan,,nan,nan,nan,5/,nan,44,Alabama Crimson Tide,Defense
12/06/2014,"Missouri @ Atlanta, Ga.",W 42 - 13,1/,6,6,6,nan,nan,nan,,nan,nan,nan,nan,nan,42,Alabama Crimson Tide,Offense
12/06/2014,"Missouri @ Atlanta, Ga.",W 42 - 13,1/,1,1,1,nan,nan,nan,,nan,nan,nan,2,nan,13,Alabama Crimson Tide,Defense
01/01/2015,Ohio St.,L 35 - 42,1/,5,5,5,nan,nan,nan,,nan,nan,nan,nan,nan,35,Alabama Crimson Tide,Offense
01/01/2015,Ohio St.,L 35 - 42,1/,5,4,4,nan,nan,1,,1,nan,nan,2,nan,42,Alabama Crimson Tide,Defense
09/05/2015,"Wisconsin @ Arlington, Texas",W 35 - 17,1/,5,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,35,Alabama Crimson Tide,Offense
09/05/2015,"Wisconsin @ Arlington, Texas",W 35 - 17,1/,2,2,2,nan,nan,nan,nan,nan,nan,nan,1,nan,17,Alabama Crimson Tide,Defense
09/12/2015,Middle Tenn.,W 37 - 10,1/,5,5,5,nan,nan,nan,nan,nan,nan,nan,nan,1/,37,Alabama Crimson Tide,Offense
09/12/2015,Middle Tenn.,W 37 - 10,1/,1,1,1,nan,nan,nan,nan,nan,nan,nan,1,nan,10,Alabama Crimson Tide,Defense
09/19/2015,Ole Miss,L 37 - 43,1/,5,4,4,nan,nan,nan,nan,1,nan,nan,1,nan,37,Alabama Crimson Tide,Offense
09/19/2015,Ole Miss,L 37 - 43,1/,5,4,4,nan,nan,nan,nan,1,nan,nan,3,nan,43,Alabama Crimson Tide,Defense
09/26/2015,La.-Monroe,W 34 - 0,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,2,nan,34,Alabama Crimson Tide,Offense
09/26/2015,La.-Monroe,W 34 - 0,1/,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Alabama Crimson Tide,Defense
10/03/2015,@ Georgia,W 38 - 10,1/,5,5,5,nan,nan,nan,nan,nan,nan,nan,1,nan,38,Alabama Crimson Tide,Offense
10/03/2015,@ Georgia,W 38 - 10,1/,1,1,1,nan,nan,nan,nan,nan,nan,nan,1,nan,10,Alabama Crimson Tide,Defense
10/10/2015,Arkansas,W 27 - 14,1/,3,3,3,nan,nan,nan,nan,nan,nan,nan,2,nan,27,Alabama Crimson Tide,Offense
10/10/2015,Arkansas,W 27 - 14,1/,2,2,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,Alabama Crimson Tide,Defense
10/17/2015,@ Texas A&M,W 41 - 23,1/,5,5,5,nan,nan,nan,nan,nan,nan,nan,2,nan,41,Alabama Crimson Tide,Offense
10/17/2015,@ Texas A&M,W 41 - 23,1/,2,2,2,nan,nan,nan,nan,nan,nan,nan,3,nan,23,Alabama Crimson Tide,Defense
10/24/2015,Tennessee,W 19 - 14,1/,2,1,1,nan,nan,nan,nan,1,nan,nan,2,nan,19,Alabama Crimson Tide,Offense
10/24/2015,Tennessee,W 19 - 14,1/,2,2,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,Alabama Crimson Tide,Defense
11/07/2015,LSU,W 30 - 16,1/,3,3,3,nan,nan,nan,nan,nan,nan,nan,3,nan,30,Alabama Crimson Tide,Offense
