Stat,Player,Value,Team,Year
Rec,Matt Bushman,49,BYU Cougars,2018
ReceivingYards,Matt Bushman,520,BYU Cougars,2018
Rush Net Yards,Squally Canada,710,BYU Cougars,2018
Sacks,Corbin Kaufusi,6.0,BYU Cougars,2018
Tackles,Fred Warner,87,BYU Cougars,2018
Tot Off,Tanner Mangum,1538,BYU Cougars,2018
APY,Malik Dunner,1288,Ball St. Cardinals,2018
FGM,Morgan Hagee,9,Ball St. Cardinals,2018
Int,Bryce Cosby,2,Ball St. Cardinals,2018
Pass Eff,Riley Neal,137.53,Ball St. Cardinals,2018
Points,Malik Dunner,54,Ball St. Cardinals,2018
Punt Avg,Nathan Snyder,470.4,Ball St. Cardinals,2018
Punt Ret Yds,Corey Lacanaria,74,Ball St. Cardinals,2018
Rec,Justin Hall,78,Ball St. Cardinals,2018
ReceivingYards,Justin Hall,801,Ball St. Cardinals,2018
Rush Net Yards,Caleb Huntley,1013,Ball St. Cardinals,2018
Sacks,Anthony Winbush,11.5,Ball St. Cardinals,2018
Tackles,Jacob White,72,Ball St. Cardinals,2018
Tot Off,Caleb Huntley,1013,Ball St. Cardinals,2018
APY,Denzel Mims,1081,Baylor Bears,2018
FGM,Connor Martin,20,Baylor Bears,2018
Int,Grayland Arnold,1,Baylor Bears,2018
Pass Eff,Jared Atkinson,268.00,Baylor Bears,2018
Points,Connor Martin,89,Baylor Bears,2018
Punt Avg,Connor Martin,330.8,Baylor Bears,2018
Punt Ret Yds,Tony Nicholson,70,Baylor Bears,2018
Rec,Denzel Mims,61,Baylor Bears,2018
ReceivingYards,Denzel Mims,1087,Baylor Bears,2018
Rush Net Yards,John Lovett,445,Baylor Bears,2018
Sacks,Ira Lewis,5.5,Baylor Bears,2018
Tackles,Taylor Young,60,Baylor Bears,2018
Tot Off,Charlie Brewer,1728,Baylor Bears,2018
APY,Cedrick Wilson,1989,Boise St. Broncos,2018
FGM,Haden Hoggarth,18,Boise St. Broncos,2018
Int,Kekoa Nawahine,3,Boise St. Broncos,2018
Pass Eff,Cedrick Wilson,195.47,Boise St. Broncos,2018
Points,Haden Hoggarth,111,Boise St. Broncos,2018
Punt Avg,Quinn Skillin,578.9,Boise St. Broncos,2018
Punt Ret Yds,Avery Williams,303,Boise St. Broncos,2018
Rec,Cedrick Wilson,83,Boise St. Broncos,2018
ReceivingYards,Cedrick Wilson,1511,Boise St. Broncos,2018
Rush Net Yards,Alexander Mattison,1086,Boise St. Broncos,2018
Sacks,Curtis Weaver,11.0,Boise St. Broncos,2018
Tackles,Leighton Vander Esch,141,Boise St. Broncos,2018
Tot Off,Brett Rypien,2856,Boise St. Broncos,2018
APY,AJ Dillon,1432,Boston College Eagles,2018
FGM,Colton Lichtenberg,10,Boston College Eagles,2018
Int,Lukas Denis,7,Boston College Eagles,2018
Pass Eff,Jeff Smith,338.90,Boston College Eagles,2018
Points,AJ Dillon,78,Boston College Eagles,2018
Punt Avg,Mike Knoll,479.8,Boston College Eagles,2018
Punt Ret Yds,Michael Walker,356,Boston College Eagles,2018
Rec,Kobay White,32,Boston College Eagles,2018
ReceivingYards,Kobay White,396,Boston College Eagles,2018
Rush Net Yards,AJ Dillon,1432,Boston College Eagles,2018
Sacks,Zach Allen,5.0,Boston College Eagles,2018
Tackles,Ty Schwab,101,Boston College Eagles,2018
Tot Off,Anthony Brown,1577,Boston College Eagles,2018
APY,Andrew Clair,1184,Bowling Green  Falcons,2018
FGM,Jake Suder,18,Bowling Green  Falcons,2018
Int,Clint Stephens,3,Bowling Green  Falcons,2018
Pass Eff,Matthew Wilcox Jr.,251.20,Bowling Green  Falcons,2018
Points,Jake Suder,86,Bowling Green  Falcons,2018
Punt Avg,Joe Davidson,520.5,Bowling Green  Falcons,2018
Punt Ret Yds,Marcus Milton,104,Bowling Green  Falcons,2018
Rec,Scott Miller,63,Bowling Green  Falcons,2018
ReceivingYards,Scott Miller,722,Bowling Green  Falcons,2018
Rush Net Yards,Josh Cleveland,793,Bowling Green  Falcons,2018
Sacks,Kyle Junior,3.5,Bowling Green  Falcons,2018
Tackles,Fred Garth,95,Bowling Green  Falcons,2018
Tot Off,Jarret Doege,1307,Bowling Green  Falcons,2018
APY,Anthony Johnson,1364,Buffalo  Bulls,2018
FGM,Adam Mitcheson,15,Buffalo  Bulls,2018
Int,Ryan Williamson,3,Buffalo  Bulls,2018
Pass Eff,Drew Anderson,173.85,Buffalo  Bulls,2018
Points,Anthony Johnson,84,Buffalo  Bulls,2018
Punt Avg,Kyle DeWeen,483.4,Buffalo  Bulls,2018
Punt Ret Yds,K.J. Osborn,82,Buffalo  Bulls,2018
Rec,Anthony Johnson,76,Buffalo  Bulls,2018
ReceivingYards,Anthony Johnson,1356,Buffalo  Bulls,2018
Rush Net Yards,Emmanuel Reed,840,Buffalo  Bulls,2018
Sacks,Demone Harris,5.0,Buffalo  Bulls,2018
Tackles,Khalil Hodge,154,Buffalo  Bulls,2018
Tot Off,Tyree Jackson,2293,Buffalo  Bulls,2018
APY,Patrick Laird,1449,California  Golden Bears,2018
FGM,Matt Anderson,20,California  Golden Bears,2018
Int,Devante Downs,2,California  Golden Bears,2018
Pass Eff,Vic Wharton III,278.00,California  Golden Bears,2018
Points,Matt Anderson,95,California  Golden Bears,2018
Punt Avg,Dylan Klumph,381.3,California  Golden Bears,2018
Punt Ret Yds,Vic Wharton III,89,California  Golden Bears,2018
Rec,Vic Wharton III,67,California  Golden Bears,2018
ReceivingYards,Vic Wharton III,871,California  Golden Bears,2018
Rush Net Yards,Patrick Laird,1127,California  Golden Bears,2018
Sacks,Raymond Davison III,4.5,California  Golden Bears,2018
Tackles,Jordan Kunaszyk,74,California  Golden Bears,2018
Tot Off,Ross Bowers,2897,California  Golden Bears,2018
APY,Jonathan Ward,1487,Central Mich. Chippewas,2018
FGM,Michael Armstrong,7,Central Mich. Chippewas,2018
Int,Josh Cox,6,Central Mich. Chippewas,2018
Pass Eff,Shane Morris,129.15,Central Mich. Chippewas,2018
Points,Jonathan Ward,78,Central Mich. Chippewas,2018
Punt Avg,Jack Sheldon,473.4,Central Mich. Chippewas,2018
Punt Ret Yds,Mark Chapman,51,Central Mich. Chippewas,2018
Rec,Mark Chapman,59,Central Mich. Chippewas,2018
ReceivingYards,Mark Chapman,875,Central Mich. Chippewas,2018
Rush Net Yards,Jonathan Ward,1017,Central Mich. Chippewas,2018
Sacks,Joe Ostman,14.0,Central Mich. Chippewas,2018
Tackles,Malik Fountain,89,Central Mich. Chippewas,2018
Tot Off,Shane Morris,3330,Central Mich. Chippewas,2018
APY,Chris Montgomery,835,Charlotte 49ers,2018
FGM,Nigel Macauley,3,Charlotte 49ers,2018
Int,Juwan Foggie,1,Charlotte 49ers,2018
Pass Eff,Hasaan Klugh,96.06,Charlotte 49ers,2018
Points,Hasaan Klugh,56,Charlotte 49ers,2018
Punt Avg,Arthur Hart,472.7,Charlotte 49ers,2018
Punt Ret Yds,Nate Mullen,81,Charlotte 49ers,2018
Rec,Mark Quattlebaum,31,Charlotte 49ers,2018
ReceivingYards,Trent Bostick,357,Charlotte 49ers,2018
Rush Net Yards,Benny Lemay,732,Charlotte 49ers,2018
Sacks,Zach Duncan,3.0,Charlotte 49ers,2018
Tackles,Jeff Gemmell,93,Charlotte 49ers,2018
Tot Off,Hasaan Klugh,2056,Charlotte 49ers,2018
APY,Michael Warren II,820,Cincinnati  Bearcats,2018
FGM,Ryan Jones,6,Cincinnati  Bearcats,2018
Int,Malik Clements,1,Cincinnati  Bearcats,2018
Pass Eff,Mike Boone,133.60,Cincinnati  Bearcats,2018
Points,Kahlil Lewis,44,Cincinnati  Bearcats,2018
Punt Avg,James Smith,507.2,Cincinnati  Bearcats,2018
Punt Ret Yds,Devin Gray,95,Cincinnati  Bearcats,2018
Rec,Kahlil Lewis,61,Cincinnati  Bearcats,2018
ReceivingYards,Kahlil Lewis,676,Cincinnati  Bearcats,2018
Rush Net Yards,Gerrid Doaks,513,Cincinnati  Bearcats,2018
Sacks,Marquise Copeland,3.5,Cincinnati  Bearcats,2018
Tackles,Jaylyin Minor,125,Cincinnati  Bearcats,2018
Tot Off,Hayden Moore,2874,Cincinnati  Bearcats,2018
APY,Travis Etienne,1125,Clemson Tigers,2018
FGM,Alex Spence,7,Clemson Tigers,2018
Int,Ryan Carter,3,Clemson Tigers,2018
Pass Eff,Hunter Johnson,167.61,Clemson Tigers,2018
Points,Travis Etienne,78,Clemson Tigers,2018
Punt Avg,Will Spiers,547.3,Clemson Tigers,2018
Punt Ret Yds,Ray-Ray McCloud,303,Clemson Tigers,2018
Rec,Hunter Renfrow,55,Clemson Tigers,2018
ReceivingYards,Deon Cain,659,Clemson Tigers,2018
Rush Net Yards,Travis Etienne,744,Clemson Tigers,2018
Sacks,Clelin Ferrell,8.5,Clemson Tigers,2018
Tackles,Kendall Joseph,86,Clemson Tigers,2018
Tot Off,Kelly Bryant,3324,Clemson Tigers,2018
APY,Ky'Jon Tyler,1133,Coastal Caro. Chanticleers,2018
FGM,Evan Rabon,12,Coastal Caro. Chanticleers,2018
Int,Fitz Wattley,3,Coastal Caro. Chanticleers,2018
Pass Eff,Tyler Keane,145.45,Coastal Caro. Chanticleers,2018
Points,Evan Rabon,66,Coastal Caro. Chanticleers,2018
Punt Avg,Evan Rabon,480.9,Coastal Caro. Chanticleers,2018
Punt Ret Yds,Chris Jones,113,Coastal Caro. Chanticleers,2018
Rec,Malcolm Williams,43,Coastal Caro. Chanticleers,2018
ReceivingYards,Malcolm Williams,793,Coastal Caro. Chanticleers,2018
Rush Net Yards,Osharmar Abercrombie,724,Coastal Caro. Chanticleers,2018
Sacks,Marcus Williamson,4.0,Coastal Caro. Chanticleers,2018
Tackles,Shane Johnson,101,Coastal Caro. Chanticleers,2018
Tot Off,Tyler Keane,1523,Coastal Caro. Chanticleers,2018
APY,Phillip Lindsay,1731,Colorado  Buffaloes,2018
FGM,James Stefanou,17,Colorado  Buffaloes,2018
Int,Evan Worthingon,3,Colorado  Buffaloes,2018
Pass Eff,Bryce Bobo,522.40,Colorado  Buffaloes,2018
Points,Phillip Lindsay,90,Colorado  Buffaloes,2018
Punt Avg,Alex Kinney,525.4,Colorado  Buffaloes,2018
Punt Ret Yds,Ronnie Blackmon,96,Colorado  Buffaloes,2018
Rec,Bryce Bobo,62,Colorado  Buffaloes,2018
ReceivingYards,Bryce Bobo,693,Colorado  Buffaloes,2018
Rush Net Yards,Phillip Lindsay,1474,Colorado  Buffaloes,2018
Sacks,Derek McCartney,4.0,Colorado  Buffaloes,2018
Tackles,Drew Lewis,94,Colorado  Buffaloes,2018
Tot Off,Steven Montez,3313,Colorado  Buffaloes,2018
APY,Dalyn Dawkins,1725,Colorado St. Rams,2018
FGM,Wyatt Bryan,15,Colorado St. Rams,2018
Int,Anthony Hawkins,3,Colorado St. Rams,2018
Pass Eff,Nick Stevens,147.89,Colorado St. Rams,2018
Points,Wyatt Bryan,98,Colorado St. Rams,2018
Punt Avg,Ryan Stonehouse,605.5,Colorado St. Rams,2018
Punt Ret Yds,Olabisi Johnson,122,Colorado St. Rams,2018
Rec,Michael Gallup,100,Colorado St. Rams,2018
ReceivingYards,Michael Gallup,1413,Colorado St. Rams,2018
Rush Net Yards,Dalyn Dawkins,1399,Colorado St. Rams,2018
Sacks,Evan Colorito,5.5,Colorado St. Rams,2018
Tackles,Josh Watson,109,Colorado St. Rams,2018
Tot Off,Nick Stevens,3922,Colorado St. Rams,2018
APY,Shaun Wilson,1581,Duke Blue Devils,2018
FGM,Austin Parker,17,Duke Blue Devils,2018
Int,Mark Gilbert,6,Duke Blue Devils,2018
Pass Eff,Quentin Harris,164.32,Duke Blue Devils,2018
Points,Austin Parker,84,Duke Blue Devils,2018
Punt Avg,Austin Parker,502.0,Duke Blue Devils,2018
Punt Ret Yds,T.J. Rahming,88,Duke Blue Devils,2018
Rec,T.J. Rahming,61,Duke Blue Devils,2018
ReceivingYards,T.J. Rahming,733,Duke Blue Devils,2018
Rush Net Yards,Shaun Wilson,743,Duke Blue Devils,2018
Sacks,Mike Ramsay,5.5,Duke Blue Devils,2018
Tackles,Joe Giles-Harris,117,Duke Blue Devils,2018
Tot Off,Daniel Jones,2871,Duke Blue Devils,2018
APY,Trevon Brown,1539,East Carolina Pirates,2018
FGM,Jake Verity,16,East Carolina Pirates,2018
Int,Aaron Ramseur,2,East Carolina Pirates,2018
Pass Eff,Reid Herring,598.00,East Carolina Pirates,2018
Points,Jake Verity,83,East Carolina Pirates,2018
Punt Avg,Austin Barnes,492.8,East Carolina Pirates,2018
Punt Ret Yds,Trevon Brown,2,East Carolina Pirates,2018
Rec,Trevon Brown,60,East Carolina Pirates,2018
ReceivingYards,Trevon Brown,1069,East Carolina Pirates,2018
Rush Net Yards,Hussein Howe,419,East Carolina Pirates,2018
Sacks,Kiante Anderson,4.5,East Carolina Pirates,2018
Tackles,Korrin Wiggins,96,East Carolina Pirates,2018
Tot Off,Gardner Minshew,2100,East Carolina Pirates,2018
APY,Ian Eriksen,944,Eastern Mich. Eagles,2018
FGM,Paulie Fricano,15,Eastern Mich. Eagles,2018
Int,Brody Hoying,2,Eastern Mich. Eagles,2018
Pass Eff,Jaron Johnson,791.20,Eastern Mich. Eagles,2018
Points,Paulie Fricano,79,Eastern Mich. Eagles,2018
Punt Avg,Jake Julien,394.6,Eastern Mich. Eagles,2018
Punt Ret Yds,Blake Banham,63,Eastern Mich. Eagles,2018
Rec,Sergio Bailey II,54,Eastern Mich. Eagles,2018
ReceivingYards,Sergio Bailey II,878,Eastern Mich. Eagles,2018
Rush Net Yards,Ian Eriksen,805,Eastern Mich. Eagles,2018
Sacks,Maxx Crosby,11.0,Eastern Mich. Eagles,2018
Tackles,Jason Beck,80,Eastern Mich. Eagles,2018
Tot Off,Brogan Roback,2843,Eastern Mich. Eagles,2018
APY,Thomas Owens,886,FIU Panthers,2018
FGM,Jose Borregales,15,FIU Panthers,2018
Int,Brad Muhammad,4,FIU Panthers,2018
Pass Eff,Thomas Owens,724.00,FIU Panthers,2018
Points,Jose Borregales,85,FIU Panthers,2018
Punt Avg,Stone Wilson,539.5,FIU Panthers,2018
Punt Ret Yds,Tony Gaiter IV,43,FIU Panthers,2018
Rec,Thomas Owens,59,FIU Panthers,2018
ReceivingYards,Thomas Owens,887,FIU Panthers,2018
Rush Net Yards,Alex Gardner,791,FIU Panthers,2018
Sacks,Fermin Silva,7.0,FIU Panthers,2018
Tackles,Anthony Wint,92,FIU Panthers,2018
Tot Off,Alex McGough,3029,FIU Panthers,2018
APY,Devin Singletary,2118,Fla. Atlantic Owls,2018
FGM,Greg Joseph,15,Fla. Atlantic Owls,2018
Int,Jalen Young,7,Fla. Atlantic Owls,2018
Pass Eff,Kamrin Solomon,774.40,Fla. Atlantic Owls,2018
Points,Devin Singletary,198,Fla. Atlantic Owls,2018
Punt Avg,Ryan Rickel,509.9,Fla. Atlantic Owls,2018
Punt Ret Yds,Jalen Young,112,Fla. Atlantic Owls,2018
Rec,Willie Wright,56,Fla. Atlantic Owls,2018
ReceivingYards,Willie Wright,657,Fla. Atlantic Owls,2018
Rush Net Yards,Devin Singletary,1920,Fla. Atlantic Owls,2018
Sacks,Rashad Smith,6.0,Fla. Atlantic Owls,2018
Tackles,Azeez Al-Shaair,140,Fla. Atlantic Owls,2018
Tot Off,Jason Driskel,2674,Fla. Atlantic Owls,2018
APY,Lamical Perine,643,Florida  Gators,2018
FGM,Eddy Pineiro,17,Florida  Gators,2018
Int,Duke Dawson,4,Florida  Gators,2018
Pass Eff,Kadarius Toney,260.00,Florida  Gators,2018
Points,Eddy Pineiro,75,Florida  Gators,2018
Punt Avg,Johnny Townsend,520.6,Florida  Gators,2018
Punt Ret Yds,Brandon Powell,38,Florida  Gators,2018
Rec,Brandon Powell,42,Florida  Gators,2018
ReceivingYards,Tyrie Cleveland,410,Florida  Gators,2018
Rush Net Yards,Lamical Perine,562,Florida  Gators,2018
Sacks,Cece Jefferson,4.5,Florida  Gators,2018
Tackles,David Reese,102,Florida  Gators,2018
Tot Off,Feleipe Franks,1458,Florida  Gators,2018
APY,Cam Akers,1032,Florida St. Seminoles,2018
FGM,Ricky Aguayo,15,Florida St. Seminoles,2018
Int,Derwin James,2,Florida St. Seminoles,2018
Pass Eff,Cam Akers,494.80,Florida St. Seminoles,2018
Points,Ricky Aguayo,84,Florida St. Seminoles,2018
Punt Avg,Logan Tyler,518.8,Florida St. Seminoles,2018
Punt Ret Yds,D.J. Matthews,200,Florida St. Seminoles,2018
Rec,Nyqwan Murray,40,Florida St. Seminoles,2018
ReceivingYards,Nyqwan Murray,604,Florida St. Seminoles,2018
Rush Net Yards,Cam Akers,930,Florida St. Seminoles,2018
Sacks,Josh Sweat,5.5,Florida St. Seminoles,2018
Tackles,Matthew Thomas,85,Florida St. Seminoles,2018
Tot Off,James Blackman,1932,Florida St. Seminoles,2018
APY,Keesean Johnson,939,Fresno St. Bulldogs,2018
FGM,Jimmy Camacho,21,Fresno St. Bulldogs,2018
Int,Jaron Bryant,3,Fresno St. Bulldogs,2018
Pass Eff,Josh Hokit,770.20,Fresno St. Bulldogs,2018
Points,Jimmy Camacho,101,Fresno St. Bulldogs,2018
Punt Avg,Blake Cusick,497.7,Fresno St. Bulldogs,2018
Punt Ret Yds,Dejonte O'Neal,40,Fresno St. Bulldogs,2018
Rec,Keesean Johnson,69,Fresno St. Bulldogs,2018
ReceivingYards,Keesean Johnson,918,Fresno St. Bulldogs,2018
Rush Net Yards,Jordan Mims,609,Fresno St. Bulldogs,2018
Sacks,Tobenna Okeke,5.0,Fresno St. Bulldogs,2018
Tackles,Jeffrey Allison,108,Fresno St. Bulldogs,2018
Tot Off,Marcus McMaryion,2636,Fresno St. Bulldogs,2018
APY,Myles Campbell,1030,Ga. Southern Eagles,2018
FGM,Tyler Bass,15,Ga. Southern Eagles,2018
Int,Monquavion Brinson,5,Ga. Southern Eagles,2018
Pass Eff,Monteo Garrett,352.00,Ga. Southern Eagles,2018
Points,Tyler Bass,72,Ga. Southern Eagles,2018
Punt Avg,Matt Flynn,478.7,Ga. Southern Eagles,2018
Punt Ret Yds,Myles Campbell,96,Ga. Southern Eagles,2018
Rec,Malik Henry,20,Ga. Southern Eagles,2018
ReceivingYards,Malik Henry,268,Ga. Southern Eagles,2018
Rush Net Yards,Wesley Fields,811,Ga. Southern Eagles,2018
Sacks,Logan Hunt,5.0,Ga. Southern Eagles,2018
Tackles,R.J. Murray,60,Ga. Southern Eagles,2018
Tot Off,Shai Werts,1651,Ga. Southern Eagles,2018
APY,Nick Chubb,1206,Georgia  Bulldogs,2018
FGM,Rodrigo Blankenship,15,Georgia  Bulldogs,2018
Int,Dominick Sanders,3,Georgia  Bulldogs,2018
Pass Eff,Jake Fromm,168.19,Georgia  Bulldogs,2018
Points,Rodrigo Blankenship,100,Georgia  Bulldogs,2018
Punt Avg,Cameron Nizialek,559.3,Georgia  Bulldogs,2018
Punt Ret Yds,Mecole Hardman,216,Georgia  Bulldogs,2018
Rec,Javon Wims,38,Georgia  Bulldogs,2018
ReceivingYards,Javon Wims,631,Georgia  Bulldogs,2018
Rush Net Yards,Nick Chubb,1175,Georgia  Bulldogs,2018
Sacks,Roquan Smith,5.5,Georgia  Bulldogs,2018
Tackles,Roquan Smith,106,Georgia  Bulldogs,2018
Tot Off,Jake Fromm,2280,Georgia  Bulldogs,2018
APY,Glenn Smith,1378,Georgia St. Panthers,2018
FGM,Brandon Wright,12,Georgia St. Panthers,2018
Int,Bryan Williams,4,Georgia St. Panthers,2018
Pass Eff,Aaron Winchester,176.31,Georgia St. Panthers,2018
Points,Brandon Wright,64,Georgia St. Panthers,2018
Punt Avg,Brandon Wright,478.7,Georgia St. Panthers,2018
Punt Ret Yds,Penny Hart,42,Georgia St. Panthers,2018
Rec,Penny Hart,74,Georgia St. Panthers,2018
ReceivingYards,Penny Hart,1121,Georgia St. Panthers,2018
Rush Net Yards,Glenn Smith,594,Georgia St. Panthers,2018
Sacks,Dontae Wilson,4.0,Georgia St. Panthers,2018
Tackles,Trey Payne,67,Georgia St. Panthers,2018
Tot Off,Conner Manning,3269,Georgia St. Panthers,2018
APY,Taquon Marshall,1146,Georgia Tech Yellow Jackets,2018
FGM,Brenton King,5,Georgia Tech Yellow Jackets,2018
Int,A.J. Gray,2,Georgia Tech Yellow Jackets,2018
Pass Eff,Taquon Marshall,124.02,Georgia Tech Yellow Jackets,2018
Points,Taquon Marshall,104,Georgia Tech Yellow Jackets,2018
Punt Avg,Pressley Harvin III,494.1,Georgia Tech Yellow Jackets,2018
Punt Ret Yds,Brad Stewart,105,Georgia Tech Yellow Jackets,2018
Rec,Ricky Jeune,25,Georgia Tech Yellow Jackets,2018
ReceivingYards,Ricky Jeune,545,Georgia Tech Yellow Jackets,2018
Rush Net Yards,Taquon Marshall,1146,Georgia Tech Yellow Jackets,2018
Sacks,Antonio Simmons,5.5,Georgia Tech Yellow Jackets,2018
Tackles,Victor Alexander,60,Georgia Tech Yellow Jackets,2018
Tot Off,Taquon Marshall,2073,Georgia Tech Yellow Jackets,2018
APY,Diocemy Saint Juste,1667,Hawaii  Rainbow Warriors,2018
FGM,Alex Trifonovitch,3,Hawaii  Rainbow Warriors,2018
Int,Solomon Matautia,3,Hawaii  Rainbow Warriors,2018
Pass Eff,Cole Brownholtz,158.80,Hawaii  Rainbow Warriors,2018
Points,Diocemy Saint Juste,48,Hawaii  Rainbow Warriors,2018
Punt Avg,Stan Gaudion,500.8,Hawaii  Rainbow Warriors,2018
Punt Ret Yds,Dylan Collie,19,Hawaii  Rainbow Warriors,2018
Rec,Dylan Collie,56,Hawaii  Rainbow Warriors,2018
ReceivingYards,John Ursua,667,Hawaii  Rainbow Warriors,2018
Rush Net Yards,Diocemy Saint Juste,1510,Hawaii  Rainbow Warriors,2018
Sacks,Jahlani Tavai,5.5,Hawaii  Rainbow Warriors,2018
Tackles,Jahlani Tavai,124,Hawaii  Rainbow Warriors,2018
Tot Off,Dru Brown,2792,Hawaii  Rainbow Warriors,2018
APY,Steven Dunbar,873,Houston  Cougars,2018
FGM,Caden Novikoff,10,Houston  Cougars,2018
Int,Terrell Williams,4,Houston  Cougars,2018
Pass Eff,D'Eriq King,175.05,Houston  Cougars,2018
Points,Caden Novikoff,70,Houston  Cougars,2018
Punt Avg,Dane Roy,455.3,Houston  Cougars,2018
Punt Ret Yds,Brandon McDowell,62,Houston  Cougars,2018
Rec,Linell Bonner,73,Houston  Cougars,2018
ReceivingYards,Steven Dunbar,873,Houston  Cougars,2018
Rush Net Yards,Duke Catalon,621,Houston  Cougars,2018
Sacks,Ed Oliver,5.5,Houston  Cougars,2018
Tackles,D'Juan Hines,104,Houston  Cougars,2018
Tot Off,Kyle Postma,1337,Houston  Cougars,2018
APY,Aaron Duckworth,1622,Idaho  Vandals,2018
FGM,Cade Coffey,12,Idaho  Vandals,2018
Int,Ed Hall,3,Idaho  Vandals,2018
Pass Eff,Mason Petrino,150.70,Idaho  Vandals,2018
Points,Cade Coffey,65,Idaho  Vandals,2018
Punt Avg,Cade Coffey,523.7,Idaho  Vandals,2018
Punt Ret Yds,David Ungerer,78,Idaho  Vandals,2018
Rec,Alfonso Onunwor,64,Idaho  Vandals,2018
ReceivingYards,Alfonso Onunwor,856,Idaho  Vandals,2018
Rush Net Yards,Aaron Duckworth,1025,Idaho  Vandals,2018
Sacks,Aikeem Coleman,7.0,Idaho  Vandals,2018
Tackles,Tony Lashley,123,Idaho  Vandals,2018
Tot Off,Matt Linehan,2034,Idaho  Vandals,2018
APY,Kendrick Foster,587,Illinois  Fighting Illini,2018
FGM,Chase McLaughlin,12,Illinois  Fighting Illini,2018
Int,Bennett Williams,3,Illinois  Fighting Illini,2018
Pass Eff,Trenard Davis,158.80,Illinois  Fighting Illini,2018
Points,Chase McLaughlin,53,Illinois  Fighting Illini,2018
Punt Avg,Blake Hayes,507.4,Illinois  Fighting Illini,2018
Punt Ret Yds,Mike Dudek,65,Illinois  Fighting Illini,2018
Rec,Ricky Smalling,31,Illinois  Fighting Illini,2018
ReceivingYards,Ricky Smalling,510,Illinois  Fighting Illini,2018
Rush Net Yards,Mike Epstein,346,Illinois  Fighting Illini,2018
Sacks,Bobby Roundtree,4.0,Illinois  Fighting Illini,2018
Tackles,Del'Shawn Phillips,85,Illinois  Fighting Illini,2018
Tot Off,"Jeff George, Jr.",1192,Illinois  Fighting Illini,2018
APY,"Simmie Cobbs, Jr.",841,Indiana  Hoosiers,2018
FGM,Griffin Oakes,16,Indiana  Hoosiers,2018
Int,Tegray Scales,2,Indiana  Hoosiers,2018
Pass Eff,Peyton Ramsey,127.89,Indiana  Hoosiers,2018
Points,Griffin Oakes,86,Indiana  Hoosiers,2018
Punt Avg,Haydon Whitehead,487.4,Indiana  Hoosiers,2018
Punt Ret Yds,J. Harris II,266,Indiana  Hoosiers,2018
Rec,"Simmie Cobbs, Jr.",72,Indiana  Hoosiers,2018
ReceivingYards,"Simmie Cobbs, Jr.",841,Indiana  Hoosiers,2018
Rush Net Yards,Morgan Ellison,704,Indiana  Hoosiers,2018
Sacks,Tegray Scales,6.0,Indiana  Hoosiers,2018
Tackles,Chase Dutra,96,Indiana  Hoosiers,2018
Tot Off,Richard Lagow,1886,Indiana  Hoosiers,2018
APY,Akrum Wadley,1450,Iowa  Hawkeyes,2018
FGM,Miguel Recinos,9,Iowa  Hawkeyes,2018
Int,Joshua Jackson,7,Iowa  Hawkeyes,2018
Pass Eff,Colten Rastetter,238.60,Iowa  Hawkeyes,2018
Points,Akrum Wadley,72,Iowa  Hawkeyes,2018
Punt Avg,Colten Rastetter,435.5,Iowa  Hawkeyes,2018
Punt Ret Yds,Matt VandeBerg,74,Iowa  Hawkeyes,2018
Rec,Nick Easley,50,Iowa  Hawkeyes,2018
ReceivingYards,Nick Easley,498,Iowa  Hawkeyes,2018
Rush Net Yards,Akrum Wadley,1021,Iowa  Hawkeyes,2018
Sacks,Anthony Nelson,6.0,Iowa  Hawkeyes,2018
Tackles,Josey Jewell,123,Iowa  Hawkeyes,2018
Tot Off,Nathan Stanley,2242,Iowa  Hawkeyes,2018
APY,David Montgomery,1382,Iowa St. Cyclones,2018
FGM,Garrett Owens,17,Iowa St. Cyclones,2018
Int,Kamari Cotton-Moya,3,Iowa St. Cyclones,2018
Pass Eff,Joel Lanning,256.20,Iowa St. Cyclones,2018
Points,Garrett Owens,93,Iowa St. Cyclones,2018
Punt Avg,Colin Downing,493.7,Iowa St. Cyclones,2018
Punt Ret Yds,Trever Ryen,181,Iowa St. Cyclones,2018
Rec,Allen Lazard,61,Iowa St. Cyclones,2018
ReceivingYards,Allen Lazard,799,Iowa St. Cyclones,2018
Rush Net Yards,David Montgomery,1094,Iowa St. Cyclones,2018
Sacks,Joel Lanning,5.0,Iowa St. Cyclones,2018
Tackles,Joel Lanning,110,Iowa St. Cyclones,2018
Tot Off,Kyle Kempt,1480,Iowa St. Cyclones,2018
APY,Steven Sims Jr.,1276,Kansas  Jayhawks,2018
FGM,Gabriel Rui,17,Kansas  Jayhawks,2018
Int,Mike Lee,2,Kansas  Jayhawks,2018
Pass Eff,Peyton Bender,108.48,Kansas  Jayhawks,2018
Points,Gabriel Rui,74,Kansas  Jayhawks,2018
Punt Avg,Cole Moos,478.5,Kansas  Jayhawks,2018
Punt Ret Yds,Steven Sims Jr.,77,Kansas  Jayhawks,2018
Rec,Steven Sims Jr.,59,Kansas  Jayhawks,2018
ReceivingYards,Steven Sims Jr.,839,Kansas  Jayhawks,2018
Rush Net Yards,Khalil Herbert,663,Kansas  Jayhawks,2018
Sacks,Daniel Wise,6.5,Kansas  Jayhawks,2018
Tackles,Joe Dineen Jr.,137,Kansas  Jayhawks,2018
