Year,Team,GP,FumblesRecovered,Int,FumblesLost,Interceptions,OffenseDefense
2015-16,Baylor,0,13,13,12,14,Defensive
2016-17,Baylor,13,10,12,12,15,Offense
2016-17,Baylor,0,12,15,10,12,Defensive
2017-18,Baylor,12,8,3,11,14,Offense
2017-18,Baylor,0,11,14,8,3,Defensive
2013-14,Central Mich.,12,8,14,10,17,Offense
2013-14,Central Mich.,0,10,17,8,14,Defensive
2014-15,Central Mich.,13,8,14,14,13,Offense
2014-15,Central Mich.,0,14,13,8,14,Defensive
2015-16,Central Mich.,13,11,7,5,11,Offense
2015-16,Central Mich.,0,5,11,11,7,Defensive
2016-17,Central Mich.,13,5,13,8,16,Offense
2016-17,Central Mich.,0,8,16,5,13,Defensive
2017-18,Central Mich.,12,12,19,10,13,Offense
2017-18,Central Mich.,0,10,13,12,19,Defensive
2013-14,California,12,8,5,14,14,Offense
2013-14,California,0,13,14,8,5,Defensive
2014-15,California,12,5,12,10,10,Offense
2014-15,California,0,10,10,5,12,Defensive
2015-16,California,13,12,15,9,14,Offense
2015-16,California,0,9,14,12,15,Defensive
2016-17,California,12,7,11,3,12,Offense
2016-17,California,0,3,12,7,11,Defensive
2017-18,California,12,10,14,8,12,Offense
2017-18,California,0,8,12,10,14,Defensive
2013-14,California,12,8,5,14,14,Offense
2013-14,California,0,13,14,8,5,Defensive
2014-15,California,12,5,12,10,10,Offense
2014-15,California,0,10,10,5,12,Defensive
2015-16,California,13,12,15,9,14,Offense
2015-16,California,0,9,14,12,15,Defensive
2016-17,California,12,7,11,3,12,Offense
2016-17,California,0,3,12,7,11,Defensive
2017-18,California,12,10,14,8,12,Offense
2017-18,California,0,8,12,10,14,Defensive
2013-14,Buffalo,13,14,15,7,8,Offense
2013-14,Buffalo,0,7,8,15,15,Defensive
