team,link,txt,key,match
Notre Dame Fighting Irish,http://stats.ncaa.org/team/513/roster/11520,Roster,roster,True
Notre Dame Fighting Irish,http://stats.ncaa.org/team/513/stats/11520,Team Statistics,stats,True
Ohio Bobcats,http://stats.ncaa.org/teams/history/MFB/519,Team History,history,True
Ohio Bobcats,http://stats.ncaa.org/people/1208?sport_code=MFB,Frank Solich,people,True
Ohio Bobcats,http://stats.ncaa.org/team/519/roster/11520,Roster,roster,True
Ohio Bobcats,http://stats.ncaa.org/team/519/stats/11520,Team Statistics,stats,True
Ohio St. Buckeyes,http://stats.ncaa.org/teams/history/MFB/518,Team History,history,True
Ohio St. Buckeyes,http://stats.ncaa.org/people/3864?sport_code=MFB,Urban Meyer,people,True
Ohio St. Buckeyes,http://stats.ncaa.org/team/518/roster/11520,Roster,roster,True
Ohio St. Buckeyes,http://stats.ncaa.org/team/518/stats/11520,Team Statistics,stats,True
Oklahoma Sooners,http://stats.ncaa.org/teams/history/MFB/522,Team History,history,True
Oklahoma Sooners,http://stats.ncaa.org/people/358?sport_code=MFB,Bob Stoops,people,True
Oklahoma Sooners,http://stats.ncaa.org/team/522/roster/11520,Roster,roster,True
Oklahoma Sooners,http://stats.ncaa.org/team/522/stats/11520,Team Statistics,stats,True
Old Dominion Monarchs,http://stats.ncaa.org/teams/history/MFB/523,Team History,history,True
Old Dominion Monarchs,http://stats.ncaa.org/people/31380?sport_code=MFB,Bobby Wilder,people,True
Old Dominion Monarchs,http://stats.ncaa.org/team/523/roster/11520,Roster,roster,True
Old Dominion Monarchs,http://stats.ncaa.org/team/523/stats/11520,Team Statistics,stats,True
Oklahoma St. Cowboys,http://stats.ncaa.org/teams/history/MFB/521,Team History,history,True
Oklahoma St. Cowboys,http://stats.ncaa.org/people/25077?sport_code=MFB,Mike Gundy,people,True
Oklahoma St. Cowboys,http://stats.ncaa.org/team/521/roster/11520,Roster,roster,True
Oklahoma St. Cowboys,http://stats.ncaa.org/team/521/stats/11520,Team Statistics,stats,True
Ole Miss Rebels,http://stats.ncaa.org/teams/history/MFB/433,Team History,history,True
Ole Miss Rebels,http://stats.ncaa.org/people/38512?sport_code=MFB,Hugh Freeze,people,True
Ole Miss Rebels,http://stats.ncaa.org/team/433/roster/11520,Roster,roster,True
Ole Miss Rebels,http://stats.ncaa.org/team/433/stats/11520,Team Statistics,stats,True
Oregon Ducks,http://stats.ncaa.org/teams/history/MFB/529,Team History,history,True
Oregon Ducks,http://stats.ncaa.org/people/41683?sport_code=MFB,Mark Helfrich,people,True
Oregon Ducks,http://stats.ncaa.org/team/529/roster/11520,Roster,roster,True
Oregon Ducks,http://stats.ncaa.org/team/529/stats/11520,Team Statistics,stats,True
Oregon St. Beavers,http://stats.ncaa.org/teams/history/MFB/528,Team History,history,True
Oregon St. Beavers,http://stats.ncaa.org/people/15427?sport_code=MFB,Mike Riley,people,True
Oregon St. Beavers,http://stats.ncaa.org/team/528/roster/11520,Roster,roster,True
Oregon St. Beavers,http://stats.ncaa.org/team/528/stats/11520,Team Statistics,stats,True
Penn St. Nittany Lions,http://stats.ncaa.org/teams/history/MFB/539,Team History,history,True
Penn St. Nittany Lions,http://stats.ncaa.org/people/37354?sport_code=MFB,Bill O'Brien,people,True
Penn St. Nittany Lions,http://stats.ncaa.org/team/539/roster/11520,Roster,roster,True
Penn St. Nittany Lions,http://stats.ncaa.org/team/539/stats/11520,Team Statistics,stats,True
Pittsburgh Panthers,http://stats.ncaa.org/teams/history/MFB/545,Team History,history,True
Pittsburgh Panthers,http://stats.ncaa.org/people/25784?sport_code=MFB,Paul Chryst,people,True
Pittsburgh Panthers,http://stats.ncaa.org/team/545/roster/11520,Roster,roster,True
Pittsburgh Panthers,http://stats.ncaa.org/team/545/stats/11520,Team Statistics,stats,True
